questionText,answerText
"When I'm in large crowds I get angry and I just can't deal with people. I don't really like other people (I prefer animals) they make me nervous and scared.
   I lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying, I have more conversions in my head than I do with actual people.    I don't know what's wrong with me and why I feel this way. What should I do?","What you are experiencing is totally normal and these emotions mean you are human! Humans are social creatures who were created to be in connection with others, but sometimes our life experiences or genetics can make that more difficult for some of us. It is possible that these reactions are based on negative reactions you have had with others in the past, maybe your family, or other traumatic interactions with others. It is also possible that they are caused by an underlying condition such as anxiety or depression, which may cause you to be more uncomfortable around others or annoyed by others. Some people are also more bothered by crowded spaces, loud interactions, and the actions of others. Of course you prefer animals (me too!), they provide unconditional love and support, do not judge you, and do not require you to have conversations with them. The fact that you have conversations in your head at night tells me that although you say you do not like people, you are craving some social connection. What is probably the case is that you were never really taught how to interact and have those conversations. The good news is that there is nothing wrong with you, you just need a little help learning how to have these conversations and taking some healthy risks to initiate conversations and that is something that I help many of my clients with in therapy."
"When I'm in large crowds I get angry and I just can't deal with people. I don't really like other people (I prefer animals) they make me nervous and scared.
   I lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying, I have more conversions in my head than I do with actual people.    I don't know what's wrong with me and why I feel this way. What should I do?","I am very sorry to hear that you are going through this!
While animals can be a wonderful way to experience emotional support, you may
want to consider opening up to a Life Coach or therapist to discuss some of
your concerns. You are not alone, and many people are experiencing very similar
anxieties. A Life Coach or professional therapist could help to guide you
through these emotions and refer you to additional professional help if needed.
It sounds as though you want to address some of these issues by first asking
the question. Finding additional support from a trained professional whom you
feel comfortable with could be the best way to get the help that you need. I
wish you the best of luck on your journey!"
"When I'm in large crowds I get angry and I just can't deal with people. I don't really like other people (I prefer animals) they make me nervous and scared.
   I lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying, I have more conversions in my head than I do with actual people.    I don't know what's wrong with me and why I feel this way. What should I do?","You are a unique individual exhibiting some of the traits of a specific type of temperament. Through temperament counseling you can come to know, accept, and manage your God-given temperament to become all that God intended. There is nothing wrong with you -- God loves you as you are and wants to help you balance your temperament needs."
"When I'm in large crowds I get angry and I just can't deal with people. I don't really like other people (I prefer animals) they make me nervous and scared.
   I lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying, I have more conversions in my head than I do with actual people.    I don't know what's wrong with me and why I feel this way. What should I do?","The thing I picked up immediately in what you're asking is how you don't like other people because ""they make me nervous and scared."" If someone said that to me in a therapy session, I'd want to understand this much more with them, and what this ""nervous and scared"" experience is all about: perhaps starting with the question, ""what's the earliest memory you have of feeling uncomfortable around people."" The idea would be to try to understand all of what it means for you to be around people, and the history of the experience, without labeling it wrong or passing judgment on it.From there what might come is that certain people, and their character traits, might be harder to be around for you because of experiences that you've had with similar situations in your life. Or, it could certainly be something completely different. It would be most important to understand it much more deeply considering the amount of distress it causes you, and in doing so we could begin to see it as ""normal for me."""
"When I'm in large crowds I get angry and I just can't deal with people. I don't really like other people (I prefer animals) they make me nervous and scared.
   I lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying, I have more conversions in my head than I do with actual people.    I don't know what's wrong with me and why I feel this way. What should I do?","What you're experiencing is anxiety, it's actually quite common. Good news - you're not alone in this experience! That being said, it can be so frustrating and upsetting to have to contend with the anxious thoughts that come up in our heads, sometimes without any warning. Additionally, nighttime is a particularly vulnerable time for a lot of people wherein anxiety rears its' ugly head even more so. We aren't as distracted at night and our resources are more depleted so we can't fight back against these thoughts as effectively as usual. It can be helpful to externalize our anxiety, give it a name, like ""Judy"" or ""Bill"" for example (or perhaps something more sinister like Lord Garmadon??). The naming is all up to you, what comes to mind for you when you think of your anxiety, now what is a name that's fitting? The act of externalizing separates us from the anxiety a bit and makes it a little more tolerable. If you can think of your anxiety as just something else to handle rather than it being a part of your personality, this is usually helpful. Additionally, I recommend not avoiding the situations that make you feel this way. Our brains have to learn what is an actual threat and what is not. Right now, your brain thinks that crowds are a threat, if you can practice some deep breathing and stay in the crowd, you will start to teach (or rewire) your brain, letting it know that the crowd is not dangerous to you. Think of your brain as an overprotective parent. Your brain is overreacting in these situations to try and keep you safe. It just needs to learn that the situation is not a danger to begin with."
"When I'm in large crowds I get angry and I just can't deal with people. I don't really like other people (I prefer animals) they make me nervous and scared.
   I lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying, I have more conversions in my head than I do with actual people.    I don't know what's wrong with me and why I feel this way. What should I do?","I think you have a lot of insight into what’s going on - being able to pinpoint the issue you’re facing and describe the responses it evokes. It sounds like you may be dealing with social anxiety and it may be beneficial to talk to a professional counselor about this. A therapist can help you develop tools (or coping strategies) for dealing with these situations. From what you’ve shared, you might benefit from animal assisted therapy. Equine therapy is a great approach, or even just working with a therapist who uses animal assisted therapy integrated with a traditional approach to counseling."
"When I'm in large crowds I get angry and I just can't deal with people. I don't really like other people (I prefer animals) they make me nervous and scared.
   I lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying, I have more conversions in my head than I do with actual people.    I don't know what's wrong with me and why I feel this way. What should I do?","Reaching out to talk about these issues is an important first step. Finding professional services might be recommended if these issues are happening more and more. A few things to note...Anger is an important secondary feeling to be aware of- it keeps us safe, allows us to stand up for ourselves or others....but it also harbors a myriad of disadvantages. But its secondary. It's more necessary to understand the primary emotions behind the anger- worry, confusion, frustration, fear, loneliness, etc...Anxiety has a lot to do with worrying about the future, especially things that we might not be able to control. If we focus our worry on negative things- mistakes, failures, or messups then we will inherently tell ourselves negative things about ourselves.  People tend to dwell on the negatives without embracing, or as t least recognizing, the positives."
"When I'm in large crowds I get angry and I just can't deal with people. I don't really like other people (I prefer animals) they make me nervous and scared.
   I lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying, I have more conversions in my head than I do with actual people.    I don't know what's wrong with me and why I feel this way. What should I do?","It's totally normal to feel overwhelmed and uncomfortable in large crowds, or large family gatherings. You may worry about not fitting in, or having anything to say. It is important to have a friend or two. Try to find someone with similar interests. Maybe you can do things that don't involve a lot of face to face contact, like going to see a movie, play or sporting event. Many people are perfectly happy doing things in small groups. If you have ongoing conversations in your head, it is usually due to worry about being judged, and wanting to do or say the exact right thing, as mentioned above. Finding someone to talk to, either a supportive friend or therapist, would allow you to get some of those thoughts our of your head, and realize that you are more accepted than you think. Good luck!"
"When I'm in large crowds I get angry and I just can't deal with people. I don't really like other people (I prefer animals) they make me nervous and scared.
   I lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying, I have more conversions in my head than I do with actual people.    I don't know what's wrong with me and why I feel this way. What should I do?","Since you're aware of your sensitivity to being among large groups of people, then continue to satisfy this and stay away from crowds as much as reasonably possible.It is also fine to prefer the companionship of animals, as long as it is not to the exclusion of relationships with people.Recognizing this feature about yourself is another example of self-understanding.The only point to consider is the reason you avoid talking with other people.If its because of bad or stressful encounters, betrayals or some type of violation, then having this relationship pattern remain in your mind, may introduce new problems such as loneliness from lack of close friends.What you should do is honestly understand whether you avoid people from fear of being hurt or exploited in some way or because you genuinely prefer solitude.If you have the right combination of people/solitude/animals, then great!If not, then consider the confidential office of a therapist for new understanding of yourself and your social interests."
"When I'm in large crowds I get angry and I just can't deal with people. I don't really like other people (I prefer animals) they make me nervous and scared.
   I lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying, I have more conversions in my head than I do with actual people.    I don't know what's wrong with me and why I feel this way. What should I do?","Thanks for sharing your concern!  I think you'd be surprised if you knew how many people feel the same way.  Being in crowds can provoke anxiety (one of the symptoms of anxiety is irritability or anger, like you described).  For some people, that's just because of their personality (if you tend to be more introverted, being around lot of people is really draining).  For others, it can point to a diagnosis of social anxiety.I'd recommend starting by writing down your self-talk.  It sounds like you are telling yourself a lot of negative messages (as you mentioned, having imaginary conversations and assuming people are judging you).  Write down the thoughts that are leading to you feeling terrible and crying.  Maybe that's:  I'm stupid, Everyone else is having a good time so I should be too, There's something wrong with me.  Just writing these down is an important starting point because it allows you to be objective to your thoughts.  When you see them on paper, you can start to identify the lies and reframe them.  Next to your negative thoughts, write some positives:  I have something to offer, I'm okay the way I am, It's okay to prefer 1:1 relationships, etc.  Hopefully even as you read some of those suggestions, you feel a little lighter and more okay with yourself.  Take care!"
