user,bot
I feel abandoned even when people are around.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I can’t stop blaming myself for the past.,Freezing is a common trauma response. It’s your nervous system trying to protect you. You're not doing anything wrong.
I freeze when someone raises their voice.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I feel empty and scared at the same time.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
My inner critic keeps telling me I'm worthless.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I feel abandoned even when people are around.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
I feel empty and scared at the same time.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
My inner critic keeps telling me I'm worthless.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
Loud noises make my whole body tense up.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I can’t stop blaming myself for the past.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
Small conflicts make me panic.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
I get emotional flashbacks without warning.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
Loud noises make my whole body tense up.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
I feel empty and scared at the same time.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I avoid people because I don’t feel safe.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
Loud noises make my whole body tense up.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I get triggered by things that seem harmless.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I get emotional flashbacks without warning.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I freeze when someone raises their voice.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I can’t relax; I’m always on edge.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
I get triggered by things that seem harmless.,It makes sense that you feel unsafe. Trauma teaches the body to stay alert. Let’s explore one small thing that helps you feel grounded.
I get overwhelmed by simple tasks.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
