questionText,answerText
"I think someone is following me.","That sounds frightening. Sometimes intense stress can make things feel unsafe. Let's explore what made you feel followed, and check what evidence you noticed."
"I feel like a light bulb in a world of moths.","That sounds like a very intense high. Remember that impulsive decisions can be risky. Can we pause and think about this?"
"I feel like I'm drowning in black treacle.","I'm sorry you're feeling this way. That 'black treacle' feeling is heavy. You don't have to do everything today, just small steps."
"I just spent my whole month's rent on new clothes.","I hear that you're feeling great, but spending a lot of money suddenly can be a symptom of mania. Let's hold off on any big purchases."
"I feel like I'm standing on shifting sand.","Feeling 'shifting sand' is a good way to describe it. Stability will return. Let's focus on a simple routine for the next hour."
"I can't get out of bed, I've been here all day.","Staying in bed is a common response to feeling overwhelmed. Have you managed to eat or drink anything today?"
"I keep starting conversations with strangers, everyone is so interesting.","You mentioned talking fast and connecting with strangers. Slowing down might help. How about we focus on just one thing for now?"
"Everything is out of sync, it's an emotional overload.","That mixture of energy and sadness is called a 'mixed state'. It's very draining. Try to avoid stimulants like caffeine right now."
"I feel empty and anxious.","Feeling empty is really hard. Sometimes just changing your surroundings, like moving to another room, can help a little."
"I don't need sleep, I have endless energy.","It sounds like you have a lot of energy right now. Needing less sleep is a common trigger for mania. Have you been able to rest at all?"
"I feel guilty and worthless.","You are not worthless. These feelings of guilt are often part of the depression. Is there a friend or family member you can call?"
"I want to smash everything around me, I'm so agitated.","It's great to feel creative, but feeling out of control is scary. Let's try to lower the stimulation in the room."
"I have a special mission that no one else understands.","I understand that feels very real to you. Unrealistic beliefs can be part of the condition. Can we check the evidence together?"
"I'm sleeping too much but I'm still tired.","It sounds like you're exhausted. Changes in sleep patterns are important indicators. Are you sleeping more than usual?"
"I feel drunk on life, like joy is surging through my veins.","Feeling 'drunk on life' can be a sign of a manic episode. Have you checked in with your healthcare team recently?"
"I'm talking so fast I can't keep up with myself.","You mentioned talking fast. Slowing down might help. How about we focus on just one thing for now?"
"I've lost interest in everything I usually love.","Loss of interest is a symptom of depression, not a character flaw. Do you have a crisis plan or a doctor you can contact?"
"I feel like the world is against me.","That sounds overwhelming. Let's try to focus on what is happening right here, right now in this room."
"I made a huge plan to change my whole life tonight.","It sounds like you have a lot of ideas. Making rapid decisions without thinking can be a symptom of mania. Let's wait 24 hours before acting."
"It feels like falling into a well.","It sounds painful. Remember, depression is an illness, not a weakness. Be gentle with yourself."
"My creativity goes into overdrive, I have a million ideas!","It's wonderful to feel creative, but having 'a million ideas' can be overwhelming. Let's try to write them down and look at them again tomorrow."
"I feel fantastic, the best I've ever felt!","It's good that you feel happy, but sometimes feeling 'the best ever' can signal a mood shift. Have others noticed a change in you?"
"I have unrealistic abilities, I can do anything.","Believing you have special powers is a common symptom. Let's check in with your doctor to discuss these feelings."
"I'm fidgety and irritable but also want to cry.","That sounds like a mixed episode. It's confusing to feel both up and down. Let's try to do something calming and safe."
"I feel like people are watching me through the TV.","That sounds very scary. These kinds of thoughts can happen when you are unwell. Shall we call your doctor together?"
"Everything has just ground to a halt.","When things grind to a halt, it's the depression talking. You don't have to force yourself. Just rest if you need to."
"I don't want to see anyone, I'm hiding away.","Withdrawing is a sign you might be struggling. Is there just one person you could text or call today?"
"I feel like a light bulb in a world of moths.","That is a very vivid description. High energy like that can burn out quickly. Let's try to conserve some of that energy."
"I'm thinking slowly and can't concentrate on anything.","Difficulty thinking is a symptom of depression. Be patient with yourself; your concentration will come back."
"I hear voices telling me I'm special.","Hearing voices is something we should take seriously. It's important to tell your doctor about this so they can help you."
"I just spent my whole month's rent on new clothes.","Financial safety is really important. Let's see if we can return any items or contact someone to help manage the rent situation."
"I feel like I'm drowning in black treacle.","That heavy feeling is temporary, even if it feels permanent. You are safe. Just breathe through it."
"I want to smash everything around me, I'm so agitated.","Agitation is very distressing. Try to move to a quieter space or go for a walk to burn off that energy safely."
"I feel drunk on life, like joy is surging through my veins.","Enjoy the feeling, but be mindful. Keep an eye on your sleep and spending to stay safe."
"I can't get out of bed, I've been here all day.","It's okay to have a bad day. Maybe just try sitting up for a few minutes, or opening a curtain."
"I think someone is following me.","Paranoia is a symptom that feels very real. Let's look for evidence together—is there anyone actually there?"
"I feel guilty and worthless.","Guilt is a liar when you are depressed. You are valuable and you are loved. This feeling will pass."
"I have so much energy but I feel desperate and sad.","This is a mixed state, which is very hard to handle. Please reach out to your support contact or doctor right now."
"I made a huge plan to change my whole life tonight.","Big plans are exciting, but let's sleep on it. If it's a good plan, it will still be good tomorrow."
"I'm talking so fast I can't keep up with myself.","It helps to take a deep breath. Let's try to slow the conversation down so I can understand you better."
"I feel like the world is against me.","It feels personal, but this is the illness affecting your perspective. You are not alone in this."
"I don't need sleep, I have endless energy.","Sleep is crucial for staying well. Even if you don't feel tired, lying down in a dark room can help your brain rest."
"I've lost interest in everything I usually love.","Anhedonia, or loss of interest, is classic depression. It doesn't mean you don't love those things anymore; the feeling will return."
"It feels like falling into a well.","I'm here with you. We can wait together until you start to see the light again."
"I feel like I'm standing on shifting sand.","Uncertainty is scary. Let's find one solid thing to focus on right now—maybe a familiar object or a routine."
"I keep starting conversations with strangers, everyone is so interesting.","It's great to be social, but remember your boundaries. Keep yourself safe when talking to people you don't know."
"I feel like a light bulb in a world of moths.","Your energy is shining bright, but let's make sure you don't burn out. Have you eaten today?"
"I feel empty and anxious.","Anxiety often rides along with depression. Try some deep breathing exercises to help settle your nerves."
"I have a special mission that no one else understands.","Feeling like you have a mission is common in mania. Let's discuss this with your care team to get their perspective."
"I'm sleeping too much but I'm still tired.","Oversleeping can be just as draining as no sleep. Let's try to set a small goal to get up for 10 minutes."
"I feel drunk on life.","That euphoria is powerful. Just be careful not to take risks that you wouldn't take if you weren't feeling this 'high'."
"I want to smash everything around me.","Please don't hurt yourself or others. If you feel you can't control this urge, we need to call for help."
"I feel like people are watching me.","That sensation of being watched is a symptom. You are safe here. No one is watching you."
"Everything has just ground to a halt.","It feels like a stop, but it's just a pause. You will get moving again when you are ready."
"I don't want to see anyone, I'm hiding away.","Isolation can make depression worse. Is there someone you trust who could just come and sit with you?"
"I feel fantastic, the best I've ever felt!","Monitor that feeling. If it goes too high, it can lead to a crash. Keep to your routine."
"I'm thinking slowly and can't concentrate.","Don't force your brain. Do simple tasks that don't require much focus until the fog lifts."
"I hear voices telling me I'm special.","Voices can seem very real. It's important to tell your psychiatrist so they can adjust your treatment."
"I just spent my whole month's rent.","This is a crisis. We need to contact someone who can help you manage your finances immediately."
"I feel like I'm drowning in black treacle.","Just keep your head above the surface. You don't have to swim, just float until the 'treacle' thins out."
"My creativity is in overdrive.","Capture your ideas in a notebook, but don't act on all of them at once. Pace yourself."
"I feel guilty and worthless.","You are judging yourself through the lens of depression. Be as kind to yourself as you would be to a friend."
"I have so much energy but I feel desperate.","This mixed mood is dangerous. Please ensure you are in a safe place and have company."
"I made a huge plan to change my whole life.","Let's break that plan down. What is one small thing you can do next week, rather than everything tonight?"
"I'm talking so fast I can't keep up.","Let's take a pause. Breathe in... and out. Let's try to say that again, but slower."
"I feel like the world is against me.","The world feels hostile right now, but there are people who care about you. I am here to listen."
"I don't need sleep, I have endless energy.","Your body needs rest even if your mind says no. Try listening to calming music in the dark."
"I've lost interest in everything.","It's okay to take a break from your hobbies. You can pick them up again when you feel better."
"It feels like falling into a well.","It's dark down there, but I'm lowering a rope. We will get you out of this well."
"I feel like I'm standing on shifting sand.","Let's find some solid ground. What is one fact we know is true right now?"
"I keep starting conversations with strangers.","Be cautious. Not everyone is as friendly as you are feeling right now. Stay in public areas."
"I feel like a light bulb in a world of moths.","Being the brightest light can be lonely. It's okay to dim the light a little and just be yourself."
"I feel empty and anxious.","Empty feelings are scary. Try holding a warm cup of tea or wrapping in a blanket to feel something physical."
"I have a special mission.","Missions can wait. Your health comes first. Let's make sure you are eating and sleeping."
"I'm sleeping too much.","Let's try to stick to a sleep schedule. Waking up at the same time each day can help regulate your mood."
"I feel drunk on life.","Remember that what goes up must come down. Let's try to make the landing as soft as possible."
"I want to smash everything.","Channel that energy into something harmless, like squeezing a stress ball or ripping up paper."
"I feel like people are watching me.","That is a distressing thought. Let's test it: look around, do you see anyone looking?"
"Everything has just ground to a halt.","Rest is productive too. If your body says stop, listen to it, but try to stay awake during the day."
"I don't want to see anyone.","You don't have to talk, but being around people can help. Maybe go to a park where you can be alone but not isolated."
"I feel fantastic!","That's great, but let's ensure it doesn't turn into irritability. Keep your environment calm."
"I'm thinking slowly.","That's the depression slowing your processing. It's not permanent. Give yourself extra time for tasks."
"I hear voices.","Do the voices tell you to do anything? It's vital you don't follow commands that could be unsafe."
"I just spent my whole month's rent.","We can fix this. Let's look at emergency options or family support to cover the rent."
"I feel like I'm drowning.","I know it feels like you're going under, but you are strong. Keep breathing."
"My creativity is in overdrive.","Pick one idea to focus on and put the rest in a 'parking lot' for later."
"I feel guilty.","Guilt is a common symptom. You haven't done anything wrong; you are just unwell."
"I have so much energy but I feel sad.","Reach out to your doctor. Mixed states respond well to medication adjustment."
"I made a huge plan.","Let's review the plan with a trusted friend before you commit to anything irreversible."
"I'm talking so fast.","Your thoughts are racing. Writing them down might help clear your head."
"I feel like the world is against me.","I'm on your side. Let's focus on the people who support you."
"I don't need sleep.","Going without sleep will make symptoms worse. Please try to rest for at least 4 hours."
"I've lost interest.","You don't have to force it. Doing nothing is acceptable when you are recovering."
"It feels like falling into a well.","I'll sit by the well with you. You aren't alone in the dark."
"I feel like I'm standing on shifting sand.","Focus on your breathing. In and out. That is a constant rhythm you can rely on."
"I keep starting conversations with strangers.","It's lovely to be friendly, but remember that your safety is the priority."
"I feel like a light bulb.","Let's turn down the dimmer switch a little so you can rest."
"I feel empty.","This emptiness will fill up again. Give it time."
"I have a special mission.","Does your mission involve keeping yourself healthy? Let's make that the priority."
"I'm sleeping too much.","Try to get some sunlight. It helps reset your body clock."
"I feel drunk on life.","Make sure you aren't actually drinking alcohol, as it can mess with your medication."
"I want to smash everything.","Walk away from the situation. Go outside and take deep breaths."
"I feel like people are watching me.","That is your mind playing tricks. Focus on what you are doing, not what others might be doing."
"Everything has ground to a halt.","Movement creates emotion. Try just wiggling your toes or stretching your arms."
"I don't want to see anyone.","Send a text instead. Keep the line of communication open."
"I feel fantastic!","Use that energy for something positive like cleaning or exercise, rather than risky choices."
"I'm thinking slowly.","Avoid making big decisions while your thinking is clouded."
"I hear voices.","Focus on my voice. I am real. The other voices are symptoms."
"I just spent my rent money.","Let's refrain from looking at online stores for the rest of the day."
"I feel like I'm drowning.","Visualise yourself floating on a calm sea. You are supported."
"My creativity is in overdrive.","Enjoy the flow, but don't let it stop you from eating and sleeping."
"I feel guilty.","Forgive yourself. You are doing the best you can with a difficult illness."
"I have so much energy but feel desperate.","This is a medical emergency. Please go to the nearest hospital or call your doctor."
"I made a huge plan.","Does the plan involve quitting your job or moving? If so, wait a week."
"I'm talking so fast.","Sip some water. It forces you to pause and swallow."
"I feel like the world is against me.","Look for one small act of kindness today. It helps change the perspective."
"I don't need sleep.","If you can't sleep, just rest your body. Close your eyes and listen to an audiobook."
