questionText,answerText
"I've read this paragraph five times and I still don't know what it says.","That's a classic ADHD struggle. Try reading it out loud or using a text-to-speech tool to engage a different sense."
"I feel like I'm driven by a motor that won't stop.","That internal motor is intense. Have you had a chance to do some heavy physical exercise today?"
"I have so much to do that I can't do anything.","That's ADHD paralysis. Forget the whole list. What is the one tiniest step you can take right now?"
"I feel rejected because my friend didn't text back immediately.","That sounds like Rejection Sensitive Dysphoria (RSD). They might just be busy. It's likely not about you."
"I forgot why I walked into this room.","The 'doorway effect' is real. Try walking back to where you started to trigger the memory."
"I can't sit still through a whole movie.","It's okay to need movement. Maybe watch at home where you can pause, or use a stress ball."
"I'm stuck on the couch and can't make myself move.","The 'couch lock' is tough. Try wiggling just your fingers first, then your toes, to build momentum."
"I get sudden bursts of anger over small things.","Emotional regulation is harder with ADHD. Step away from the situation for 5 minutes to let the chemical surge pass."
"I zoned out during the meeting and missed everything.","It happens. Is there a recording or a colleague you can ask for a quick summary?"
"I keep interrupting people when they talk.","Impulsivity in conversation is common. Try to take a breath before speaking, or write your thought down."
"I've been procrastinating on this one email for weeks.","The 'wall of awful' has built up around that email. Just open the draft. You don't even have to write it yet."
"I feel like a failure compared to everyone else.","Don't compare your inside struggles to everyone else's highlight reel. You are playing life on 'Hard Mode'."
"I lost my keys again for the third time this week.","Losing things is so frustrating. Do you have a designated 'launch pad' or bowl by the door for next time?"
"My thoughts are racing a million miles an hour.","Racing thoughts can be exhausting. 'Brain dumping' them all onto paper might quiet the noise."
"My room is a disaster zone and I don't know where to start.","Don't look at the whole room. Just pick up the trash. Ignore the laundry and books for now."
"I'm overwhelmed by loud noises and bright lights.","Sensory overload is real. Can you put on noise-canceling headphones or dim the lights for a bit?"
"I can't seem to finish anything I start.","Starting is fun, finishing is hard. Let's try to finish just one small part of a task today."
"I'm tapping my foot and it's annoying everyone.","You need to release that energy. Is there a way to fidget that is less visible, like wiggling your toes?"
"I can't motivate myself to do boring tasks.","Dopamine is low. Can you pair the boring task with something fun, like listening to music?"
"I feel intense shame about my lack of productivity.","Productivity does not equal worth. You are valuable even on days when you get nothing done."
"My brain feels like it's in a fog.","Brain fog is heavy. Sometimes a glass of water and a quick stretch can help clear it a little."
"I feel restless and edgy, like I need to run.","That edginess suggests you need stimulation. A quick walk or some jumping jacks might reset your system."
"I get overwhelmed by multi-step instructions.","Break it down. Ask for the instructions one step at a time, or write them out as a checklist."
"Criticism feels like a physical blow to my chest.","RSD makes criticism hurt more. Try to separate the feedback about the task from your value as a person."
"I forgot to reply to my texts for three days.","It's the 'out of sight, out of mind' phenomenon. Maybe set a daily 10-minute 'reply time' alarm?"
"I talk too much and I can't seem to shut up.","You likely have a lot of interesting things to share. Try to check in with the listener to see if they are following."
"I forget to eat or go to the bathroom when I'm hyperfocused.","Hyperfocus is a double-edged sword. Set a recurring timer to remind you to check your body's needs."
"My mood swings are exhausting.","Ride the wave. These moods often pass as quickly as they came. Be gentle with yourself."
"I missed an important deadline because I got distracted.","That stings. Be honest about the mistake, and let's set up a calendar alert for the next one immediately."
"I struggle to listen when people are talking to me directly.","It's hard to filter out distractions. Using a fidget toy while listening might actually help you focus."
"I can't seem to prioritize what's important.","Everything feels urgent. Try the 'Eisenhower Matrix' or just pick the one thing that will relieve the most stress."
"I feel like I'm always letting people down.","You care about people, which is why it hurts. Have you asked them how they feel? You might be assuming the worst."
"I make careless mistakes in my work constantly.","Detail work is draining for ADHD brains. Can you use a checklist to review your work before submitting?"
"I have trouble waiting my turn in line.","Waiting is painful for the ADHD brain. Distract yourself with a game on your phone or a podcast."
"I struggle to switch from one task to another.","Task switching is expensive for your brain. Create a small transition ritual, like getting a drink of water."
"I get frustrated so easily when things don't work.","Low frustration tolerance is a symptom. Take a break. You can try again when your tank is refilled."
"I'm fidgeting constantly.","Fidgeting is a self-regulation tool. Don't shame yourself for it; it helps your brain work."
"I feel paralyzed by the fear of not doing it perfectly.","Perfectionism is the enemy of done. A 'good enough' job is better than a perfect job that never happens."
"I feel like an impostor at work.","You are capable. The fact that you are struggling doesn't mean you are faking it; it means you are working hard."
"I feel an internal sense of restlessness even when I'm still.","Internal restlessness is uncomfortable. Deep pressure, like a weighted blanket, might help calm your system."
"I feel like I'm driven by a motor.","That internal motor is intense. Have you had a chance to do some heavy physical exercise today?"
"I read the same page 5 times.","That's a classic ADHD struggle. Try reading it out loud or using a text-to-speech tool to engage a different sense."
"I'm stuck on the couch.","The 'couch lock' is tough. Try wiggling just your fingers first, then your toes, to build momentum."
"I feel rejected over nothing.","That sounds like Rejection Sensitive Dysphoria (RSD). It's likely not about you."
"I lost my wallet again.","Losing things is so frustrating. Do you have a designated 'launch pad' or bowl by the door for next time?"
"I can't focus on anything.","Brain fog is heavy. Sometimes a glass of water and a quick stretch can help clear it a little."
